Wavelength (nm),Position (mm),Counts
655,99.99373575000008,148160.0
655,99.97149487500009,148160.0
655,99.9340616250001,148140.0
655,99.8823408750001,149940.0
655,99.8109986250001,148900.0
655,99.7291312500001,150240.0
655,99.63126187500009,150240.0
655,99.51758100000009,150740.0
655,99.3826117500001,150400.0
655,99.24440400000009,147080.0
655,99.08600325000009,148620.0
655,98.9045520000001,148620.0
655,98.7214815000001,149140.0
655,98.51902762500009,150280.0
655,98.29599975000009,150900.0
655,98.0603512500001,150500.0
655,97.8142728750001,150500.0
655,97.5501446250001,151700.0
655,97.26729975000009,151940.0
655,96.9671193750001,148040.0
655,96.6513180000001,146980.0
655,96.3387075000001,146980.0
655,95.99466450000008,145820.0
655,95.64428737500009,148240.0
655,95.2697643750001,148360.0
655,94.88223975000008,151440.0
655,94.47942750000009,151440.0
655,94.05875587500009,150720.0
655,93.63365512500009,150160.0
655,93.17959837500008,149160.0
655,92.71282575000009,148320.0
655,92.24419575000009,148320.0
655,91.75518225000008,148220.0
655,91.2812182500001,148840.0
655,90.7922047500001,150540.0
655,90.29419012500009,150000.0
655,89.81722575000009,150000.0
655,89.33721337500009,150820.0
655,88.88720475000008,149220.0
655,88.39219050000008,149400.0
655,87.92417962500008,150520.0
655,87.44121450000009,150520.0
655,86.96420250000008,151700.0
655,86.48419012500008,150560.0
655,86.00722575000009,149840.0
655,85.53321412500007,151140.0
655,85.05320175000008,151140.0
655,84.55218675000008,149400.0
655,84.09322462500008,149160.0
655,83.61621262500007,149180.0
655,83.13620025000009,150640.0
655,82.65918825000008,150640.0
655,82.17322275000008,146060.0
655,81.69621075000008,147700.0
655,81.21919875000009,149520.0
655,80.74518712500007,149880.0
655,80.25922162500007,149880.0
655,79.78220962500008,149920.0
655,79.29919687500008,148260.0
655,78.81618412500008,150460.0
655,78.32721825000009,147420.0
655,77.86220775000008,147420.0
655,77.37919500000007,147340.0
655,76.89618225000007,148800.0
655,76.42221825000007,150880.0
655,75.93920550000007,151800.0
655,75.45919312500007,151800.0
655,74.98218112500007,149740.0
655,74.50821712500007,147200.0
655,74.01920362500007,146900.0
655,73.54819237500007,148560.0
655,73.07118037500007,148560.0
655,72.59421600000007,151060.0
655,72.11120325000007,151660.0
655,71.63419125000006,151360.0
655,71.15122612500006,150820.0
655,70.67421412500006,150820.0
655,70.19720212500006,149220.0
655,69.71418937500007,147600.0
655,69.23722500000007,147500.0
655,68.75721262500007,146840.0
655,68.27720025000006,146840.0
655,67.79418750000006,146880.0
655,67.30822200000007,147420.0
655,66.82220887500007,149600.0
655,66.35119762500007,151380.0
655,65.87418562500007,151380.0
655,65.40322200000007,152280.0
655,64.91420850000006,151400.0
655,64.44019687500007,150620.0
655,63.95718412500007,149020.0
655,63.47721937500006,149020.0
655,62.99720700000005,149320.0
655,62.523195375000064,148380.0
655,62.03418187500006,151660.0
655,61.55421712500006,151040.0
655,61.077205125000056,151040.0
655,60.61219462500006,152100.0
655,60.12918187500006,152920.0
655,59.652217500000056,153100.0
655,59.172205125000055,152040.0
655,58.69219275000005,152040.0
655,58.21218037500005,151320.0
655,57.73521600000005,151300.0
655,57.25520362500006,154140.0
655,56.77519125000005,151520.0
655,56.292226125000056,151520.0
655,55.812213750000055,150160.0
655,55.32019987500005,151440.0
655,54.85518937500005,150640.0
655,54.35722237500005,151220.0
655,53.901213000000055,151220.0
655,53.41219950000005,152980.0
655,52.92918675000005,152480.0
655,52.45822312500005,148160.0
655,51.96920962500005,149700.0
655,51.48619687500005,149700.0
655,51.02118637500005,150620.0
655,50.54422200000005,149320.0
655,50.06420962500005,148740.0
655,49.581196875000046,150060.0
655,49.104184875000044,150060.0
655,48.62422012500005,152360.0
655,48.135206625000045,153780.0
655,47.66419537500004,153500.0
655,47.18118262500005,150460.0
655,46.707218625000046,150460.0
655,46.224205875000045,154060.0
655,45.75019425000004,155920.0
655,45.26718150000004,155960.0
655,44.78421637500004,153560.0
655,44.29820325000004,153560.0
655,43.82419162500004,151720.0
655,43.350180000000044,152720.0
655,42.86421450000004,154180.0
655,42.384202125000044,155200.0
655,41.91019050000004,155200.0
655,41.43322612500004,153200.0
655,40.95621412500004,156780.0
655,40.479202125000036,157600.0
655,40.00219012500004,153960.0
655,39.51922500000004,153960.0
655,38.10828675000004,155600.0
655,37.66570762500004,152140.0
655,37.24103550000003,152140.0
655,36.82126875000003,153160.0
655,36.424647750000034,154380.0
655,36.05031525000003,156120.0
655,35.68388850000003,155220.0
655,35.33060625000004,155220.0
655,34.994802375000035,155420.0
655,34.67428612500003,155840.0
655,34.36153275000004,154600.0
655,34.07897362500003,154480.0
655,33.80917800000003,154480.0
655,33.544668750000035,155700.0
655,33.30187650000003,156640.0
655,33.06860925000003,155860.0
655,32.858916375000035,156140.0
655,32.66151075000003,156140.0
655,32.47810687500003,157740.0
655,32.30989537500003,158680.0
655,32.157876375000036,158040.0
655,32.01933525000003,156400.0
655,31.896177000000034,156400.0
655,31.79035425000003,157500.0
655,31.69886662500003,157780.0
655,31.62204750000003,158740.0
655,31.56046837500003,160820.0
655,31.51412925000003,160820.0
655,31.480458375000026,160780.0
655,31.448454375000033,158740.0
655,31.415831250000032,158740.0
655,31.384446375000028,161560.0
655,31.35244237500003,161560.0
655,31.320867000000028,161960.0
655,31.28924400000003,158280.0
655,31.25623987500003,158660.0
655,31.22447400000003,159220.0
655,31.19323200000003,159220.0
655,31.16122800000003,160260.0
655,31.12946212500003,160820.0
655,31.09702950000003,161980.0
655,31.06545412500003,158900.0
655,31.03345012500003,158900.0
655,31.00025550000003,158040.0
655,30.969632625000028,158480.0
655,30.93662850000003,157160.0
655,30.90586275000003,156760.0
655,30.87385875000003,156520.0
