Wavelength (nm),Position (mm),Counts
655,99.9931642500001,30160.0
655,99.97168537500009,30160.0
655,99.93434737500009,31280.0
655,99.8808168750001,32300.0
655,99.8133798750001,32240.0
655,99.7291312500001,30560.0
655,99.63326212500009,30560.0
655,99.5213433750001,31000.0
655,99.3911842500001,30480.0
655,99.24440400000009,30060.0
655,99.07552575000008,30560.0
655,98.91593437500009,30560.0
655,98.7214815000001,31020.0
655,98.5203611250001,31200.0
655,98.30023837500009,31140.0
655,98.0694476250001,29680.0
655,97.81270125000009,29680.0
655,97.55185912500009,28600.0
655,97.2745387500001,29240.0
655,96.97664437500009,30700.0
655,96.6593190000001,30040.0
655,96.33661200000009,30040.0
655,95.9880922500001,28220.0
655,95.6329050000001,28640.0
655,95.26500187500008,29540.0
655,94.8748102500001,29500.0
655,94.47433162500009,29500.0
655,94.06142287500009,29820.0
655,93.6308928750001,31200.0
655,93.17959837500008,31000.0
655,92.72463675000009,29740.0
655,92.24419575000009,29740.0
655,91.75818262500009,30520.0
655,91.26921675000008,29900.0
655,90.79520512500008,29440.0
655,90.32119350000009,29300.0
655,89.83818075000008,29300.0
655,89.34921487500009,30000.0
655,88.88120400000008,30140.0
655,88.41019275000009,30880.0
655,87.92417962500008,31900.0
655,87.44721525000008,31900.0
655,86.93719912500009,30440.0
655,86.49319125000008,30120.0
655,86.01022612500007,31820.0
655,85.52421300000009,31880.0
655,85.04720100000009,31880.0
655,84.57018900000007,31840.0
655,84.09922537500009,31500.0
655,83.50519875000008,30720.0
655,83.07619275000009,30240.0
655,82.59318000000007,30240.0
655,82.17622312500008,31840.0
655,81.67220775000007,31680.0
655,81.22219912500007,31340.0
655,80.74218675000007,31240.0
655,80.25922162500007,31240.0
655,79.77320850000008,31920.0
655,79.28119462500008,31480.0
655,78.80118225000007,31680.0
655,78.33621937500007,31140.0
655,77.85920737500007,31140.0
655,77.38819612500008,31160.0
655,76.90218300000006,30100.0
655,76.42221825000007,31300.0
655,75.94220587500007,31480.0
655,75.46219350000007,31480.0
655,74.98518150000007,32160.0
655,74.50521675000007,30960.0
655,74.02820475000007,30880.0
