Wavelength (nm),Power (mW),Position (mm)
655,0.0007165500619999999,99.99302137500008
655,0.000714506257,99.90643912500009
655,0.0007136887920000001,99.82590525000009
655,0.000734126843,99.64831162500009
655,0.00076601026,99.2396415000001
655,0.0008023901610000001,98.7374835000001
655,0.000861660567,98.04206325000008
655,0.000894565915,97.20924487500008
655,0.0009693695799999999,96.21331087500009
655,0.00102863999,95.7333461250001
655,0.0011132537999999999,95.0913135000001
655,0.00121544429,94.16334037500009
655,0.00134727031,93.22931887500009
655,0.00146765058,92.17533000000009
655,0.00162032325,91.22330625000008
655,0.0017043240599999999,90.22332412500009
655,0.0018093757,89.66130150000008
655,0.0019645010500000002,89.03131800000008
655,0.00205197625,88.16130450000009
655,0.00218564151,87.74934825000008
655,0.00237919039,87.11131612500009
655,0.00248403785,86.23730212500008
655,0.00264263758,85.82534587500008
655,0.0028903475599999996,85.19731500000007
655,0.00306488892,84.19333237500008
655,0.00327110934,83.59130475000008
655,0.00351350536,82.95132000000008
655,0.0038689245200000002,82.20732225000008
655,0.00406267782,81.22334212500009
655,0.0044738922,80.20531012500008
655,0.00476697505,79.75930200000008
655,0.005228058850000001,79.11331650000007
655,0.00563682079,78.22534837500007
655,0.005925815910000001,77.50730625000007
655,0.00648602418,76.88532375000007
655,0.00715251099,76.15732800000006
655,0.007980459490000001,75.22330650000008
655,0.00888096201,74.19332062500007
655,0.0113215065,73.22534250000007
655,0.0118663338,71.01530437500007
655,0.0126753848,70.47733237500006
655,0.0135192558,69.83334712500007
655,0.014547466,69.20931675000007
655,0.015620736999999999,68.56933200000006
655,0.0167493126,67.92134625000007
655,0.0185619938,67.23930862500006
655,0.019733581200000003,66.24332700000006
655,0.0218350615,65.24734537500005
655,0.0243482391,64.21931212500007
655,0.0260236884,63.72534562500005
655,0.027858899599999997,63.10731600000007
655,0.029706403399999998,62.47933275000006
655,0.031775110999999995,61.845301125000056
655,0.0354455406,61.201315875000056
655,0.039378137400000006,60.18533175000006
655,0.0441300253,59.237308500000054
655,0.0466391066,58.21332337500006
655,0.0517412445,57.23134350000005
655,0.0555017905,56.671321125000055
655,0.060866103,56.08534312500006
655,0.0637663907,55.22133037500005
655,0.0687681677,54.80732625000005
655,0.0760578187,54.16934175000005
655,0.0850741126,53.21931825000005
655,0.115254566,52.15732837500005
655,0.120847784,49.54533525000004
655,0.12900198599999999,49.053321375000046
655,0.13781180299999998,48.40333537500004
655,0.147441155,47.773304250000045
655,0.162540775,47.105316000000045
655,0.180303847,46.187344125000045
655,0.20241036,45.22731937500004
655,0.21464165200000002,44.18133150000004
655,0.22945442500000002,43.62130912500004
655,0.24805750600000004,42.977323875000046
655,0.26184588200000003,42.21732412500004
655,0.289504649,41.25934725000003
655,0.310914562,40.73332912500004
655,0.340622093,40.10334562500004
655,0.356049539,39.237332625000036
655,0.381208753,38.82532875000003
655,0.407802087,38.17134225000004
655,0.436136936,37.52330887500003
655,0.475924578,36.905326875000036
655,0.525935669,36.165329625000034
655,0.5857195359999999,35.225307375000035
655,0.622474879,34.195321500000034
655,0.687749591,33.26530050000003
655,0.7320445149999999,32.73332925000003
655,0.7849034149999999,32.10734625000003
655,0.845035654,31.46931412500003
655,0.905618479,30.81332737500003
655,1.14223058,30.183343875000027
655,1.19273982,28.145327250000026
655,1.27146882,27.625309875000024
655,1.38271204,26.977324125000024
655,1.46491721,26.219324625000027
655,1.62196637,25.209341250000023
655,1.7377082300000002,24.739330125000023
655,1.91786489,24.109346625000025
655,2.17429642,23.22533137500002
655,2.48634978,22.228540125000023
655,2.7971759,21.30732975000002
655,3.0756928,20.53366162500002
655,3.22497101,19.95549412500002
655,3.55011155,19.30503187500002
655,3.65971867,19.154394000000018
655,3.7247471,19.02061537500002
655,3.78425373,18.92317462500002
655,3.84089793,18.82120950000002
655,3.87852429,18.724578375000018
655,3.91778676,18.66199912500002
655,3.96216149,18.598610250000018
655,4.0247351899999995,18.525172500000018
655,4.05929424,18.42420750000002
655,4.12186841,18.32738587500002
655,4.16726572,18.278617875000016
655,4.22718143,18.213800250000016
655,4.27993946,18.123598500000018
655,4.3263593700000005,18.05278012500002
655,4.373800940000001,17.989581750000017
655,4.453757309999999,17.924383125000016
655,4.53105476,17.820608250000017
655,4.57624719,17.723596125000018
655,4.66336031,17.625202875000017
655,4.753950049999999,17.529381375000018
655,4.81816009,17.478994125000014
655,4.90465993,17.414986125000016
655,5.001997579999999,17.324403375000017
655,5.10137994,17.225200500000017
655,5.19769499,17.123187750000014
655,5.29073877,17.019984375000014
655,5.3461557299999996,16.925210625000016
655,5.4105701900000005,16.865393625000017
655,5.49400318,16.805624250000015
655,5.54533023,16.723995000000016
655,5.612812,16.67717962500002
655,5.7093314799999995,16.612409625000016
655,5.81423566,16.523208000000015
655,5.92363812,16.425195750000018
655,5.9933695,16.324802250000015
655,6.065759809999999,16.262985000000015
655,6.15246315,16.199596125000014
655,6.21667365,16.124015250000017
655,6.33446034,16.026384000000014
655,6.45408779,15.929181375000015
655,6.53629284,15.880222875000015
655,6.65305695,15.815214750000015
655,6.7477366,15.725203500000013
655,6.8342369000000005,15.655004250000013
655,6.925848780000001,15.591996375000013
655,7.06858374,15.523797375000015
655,7.202933079999999,15.420022500000014
655,7.277981840000001,15.322391250000015
655,7.41478568,15.226188750000015
655,7.50578428,15.174420375000015
655,7.59903295,15.112603125000014
655,7.69412052,15.048214125000015
655,7.7883917799999995,14.984587125000015
655,7.93276262,14.920388625000014
655,8.07774626,14.820804750000013
655,8.230704809999999,14.722983000000013
655,8.367304690000001,14.617588875000013
655,8.44582915,14.525196375000014
655,8.54234956,14.471427750000014
655,8.66606738,14.409229500000015
655,8.73559434,14.324790375000013
655,8.83436296,14.280022875000013
655,8.97648372,14.214824250000014
655,9.61994939,14.122431750000013
655,9.59337875,13.860208500000013
655,9.67308879,13.801201125000013
655,9.77528282,13.736621625000012
655,9.92652774,13.628989125000013
655,10.0328084,13.577411250000013
655,10.173833,13.513593750000013
655,10.3332559,13.420391625000011
655,10.447711700000001,13.324189125000013
655,10.5560357,13.255418625000013
655,10.6541412,13.193410875000012
655,10.8156046,13.122830625000011
655,10.925972799999998,13.020817875000013
655,10.9934201,12.924805875000013
655,11.0915257,12.825222000000013
655,11.136489899999999,12.777025500000013
655,11.1446669,12.714208125000011
655,11.1834984,12.64962862500001
655,11.218245099999999,12.586430250000012
655,11.218245099999999,12.519231375000013
655,11.230507900000001,12.425219625000011
655,11.2407282,12.324635625000012
655,11.230507900000001,12.21962250000001
655,11.2366406,12.124801125000012
655,11.2264203,12.07303275000001
655,11.230507900000001,12.009024750000012
655,11.2202903,11.92401412500001
655,11.2223327,11.882008875000011
655,11.2284655,11.81681025000001
655,11.2243779,11.727037125000011
655,11.2141576,11.625214875000012
655,11.2202903,11.52220200000001
655,11.2284655,11.46419475000001
655,11.218245099999999,11.40142500000001
655,11.2059815,11.32341525000001
655,11.2202903,11.23040362500001
655,11.2202903,11.178016125000012
655,11.2080267,11.115008250000011
655,11.2264203,11.021234625000009
655,11.238683,10.925413125000011
655,11.2243779,10.857214125000011
655,11.218245099999999,10.79463487500001
655,11.2141576,10.72419750000001
655,11.2141576,10.62142275000001
655,11.2284655,10.52760150000001
655,11.2141576,10.43082750000001
655,11.2162018,10.37863050000001
655,11.2059815,10.31424150000001
655,11.2080267,10.25104312500001
655,11.2223327,10.18679700000001
655,11.2202903,10.121598375000008
655,11.1978063,10.02101437500001
655,11.2223327,9.92600250000001
660,0.000714477096,99.9931642500001
660,0.000710026711,99.94034812500009
660,0.0007201412589999999,99.71532000000009
660,0.000736122104,99.53858362500009
660,0.000761812942,99.26888325000009
660,0.000769904545,98.8594987500001
660,0.0008168357230000001,98.24142150000009
660,0.000873679141,97.4360827500001
660,0.000912114217,97.01636362500008
660,0.000988377451,96.37933162500009
660,0.0010504801400000002,95.4873153750001
660,0.00111076258,94.7833226250001
660,0.00119046467,94.13533687500009
660,0.0013063767000000002,93.41334187500009
660,0.00142835756,92.46131812500009
660,0.00151372365,91.48933950000009
660,0.00165067377,90.49331025000008
660,0.00180825737,89.47932637500008
660,0.00192093285,89.03131800000008
660,0.0021076462,88.38133200000009
660,0.00231539775,87.45931200000008
660,0.0025676531500000003,86.48533312500008
660,0.00280574818,85.43734500000008
660,0.0030917856299999998,84.48132075000008
660,0.00326211352,83.48133862500008
660,0.00347330388,82.93531800000008
660,0.00378402115,82.30933500000008
660,0.00413701673,81.41131800000008
660,0.00431442459,80.48534512500008
660,0.00460794672,80.07134100000007
660,0.0050283047100000006,79.42530787500007
660,0.00563173489,78.48933375000007
660,0.00590603941,77.43334462500006
660,0.00641338193,76.86532125000008
660,0.00694601113,76.23133725000007
660,0.00734249852,75.46733700000007
660,0.00813122642,74.51331300000007
660,0.00873526369,73.99334325000007
660,0.0112218704,73.34731012500006
660,0.011819915,71.08731337500006
660,0.0125983861,70.47733237500006
660,0.0134640304,69.83334712500007
660,0.0146317379,69.20331600000007
660,0.016204898199999998,68.45331750000007
660,0.017157713999999998,67.50334162500006
660,0.0189741495,66.53131537500006
660,0.021001418600000002,65.51333100000006
660,0.0224792948,65.03131837500007
660,0.0241497619,64.38333262500007
660,0.0258688888,63.755301750000065
660,0.027679238000000002,63.119317500000065
660,0.0307160917,62.451329250000065
660,0.0340894658,61.42334362500006
660,0.038131835,60.49132237500006
660,0.0403719678,59.449335000000055
660,0.0447934435,58.493310750000056
660,0.047911384200000004,58.00734525000006
660,0.0527464217,57.36331237500005
