Wavelength (nm),Position (mm),Counts
655,99.9933547500001,26639.999999999996
655,99.97149487500009,26900.0
655,99.93463312500009,27339.999999999996
655,99.8823408750001,27539.999999999996
655,99.8138561250001,27539.999999999996
655,99.7319887500001,26460.000000000004
655,99.63326212500009,25680.0
655,99.5191050000001,25000.0
655,99.3920415000001,25960.000000000004
655,99.24630900000008,25960.000000000004
655,99.08705100000009,27000.0
655,98.9136483750001,27060.000000000004
655,98.7276727500001,26600.0
655,98.5230281250001,26600.0
655,98.3030958750001,26339.999999999996
655,98.06639962500009,26560.000000000004
655,97.8175113750001,25180.0
655,97.5535736250001,24420.0
655,97.26910950000008,25000.0
655,96.97473937500008,25000.0
655,96.66527212500009,26700.0
655,96.3387075000001,27439.999999999996
655,95.99466450000008,26420.0
655,95.63971537500008,26900.0
655,95.2554768750001,26900.0
655,94.8698572500001,27060.000000000004
655,94.4614728750001,26339.999999999996
655,94.05075487500008,26139.999999999996
655,93.6005557500001,25280.0
655,93.1710258750001,25280.0
655,92.71282575000009,26280.0
655,92.23219425000009,25960.000000000004
655,91.75818262500009,26620.0
655,91.27821787500008,27839.999999999996
655,90.80120587500008,27839.999999999996
655,90.32119350000009,27480.0
655,89.84118112500009,27360.000000000004
655,89.36121637500008,27100.0
655,88.88120400000008,27220.0
655,88.39819125000008,27220.0
655,87.92718000000008,26720.0
655,87.44121450000009,26980.0
655,86.95820175000009,25839.999999999996
655,86.48118975000007,26120.0
655,86.00122500000009,26120.0
655,85.52721337500007,26260.000000000004
655,85.03519950000008,27020.0
655,84.56718862500009,26739.999999999996
655,84.06922162500008,26980.0
655,83.57120700000007,26980.0
655,83.10319612500008,26580.0
655,82.65918825000008,26539.999999999996
655,82.15522050000008,27680.0
655,81.67520812500008,27580.0
655,81.20119650000007,27580.0
655,80.73318562500008,26820.0
655,80.24121937500007,26920.0
655,79.77320850000008,27939.999999999996
655,79.29919687500008,27960.000000000004
655,78.81318375000006,27960.000000000004
655,78.34222012500007,28160.0
655,77.85320662500007,27500.0
655,77.37919500000007,27100.0
655,76.90218300000006,26000.0
655,76.42221825000007,26000.0
655,75.94220587500007,26020.0
655,75.45919312500007,25839.999999999996
655,74.97618037500007,27120.0
655,74.49321525000006,28020.0
655,74.01620325000006,28020.0
655,73.54219162500007,28139.999999999996
655,73.05622612500007,27439.999999999996
655,72.58821525000008,28160.0
655,72.09920175000006,29060.0
655,71.62218975000006,29060.0
655,71.14522537500007,29420.0
655,70.64721075000007,28900.0
655,70.18520062500006,30140.0
655,69.71418937500007,29740.0
655,69.22822387500007,29740.0
655,68.73320962500007,29820.0
655,68.26519875000007,29040.0
655,67.79118712500006,29760.0
655,67.30522162500006,30380.0
