Wavelength (nm),Position (mm),Power (mW),Counts
700,54.28104418580852,0.1,395.0
700,45.66091619580622,0.21010101010101012,502.0
700,41.49512167673687,0.3202020202020202,517.0
700,38.62976827177717,0.4303030303030303,584.0
700,36.307242772366855,0.5404040404040404,595.0
700,34.624054968142524,0.6505050505050505,656.0
700,33.340981593087484,0.7606060606060606,653.0
700,32.79486247735071,0.8707070707070707,671.0
700,32.38424510713308,0.9808080808080808,713.0
700,30.389745186002866,1.090909090909091,718.0
700,28.784782112511575,1.201010101010101,833.0
700,27.913929211883122,1.3111111111111111,932.0
700,27.32017534534239,1.4212121212121214,882.0
700,26.7663351148383,1.5313131313131314,947.0
700,26.132378376510747,1.6414141414141414,982.0
700,25.552397092439907,1.7515151515151517,1045.0
700,25.004916208078832,1.8616161616161617,1012.0
700,24.52951152488136,1.9717171717171718,1073.0
700,23.983090231101084,2.081818181818182,1087.0
700,23.14542428982247,2.191919191919192,1217.0
700,22.82705980068596,2.302020202020202,1235.0
700,22.5361666833563,2.412121212121212,1252.0
700,22.25476825945947,2.522222222222222,1299.0
700,21.97336983556264,2.6323232323232326,1305.0
700,21.533612179293545,2.7424242424242427,1395.0
700,21.158191482143515,2.8525252525252527,1459.0
700,20.900234411414914,2.9626262626262627,1470.0
700,20.64227734068631,3.0727272727272728,1519.0
700,20.426019385895284,3.182828282828283,1573.0
700,20.231958854684525,3.2929292929292933,1589.0
700,20.05725352603694,3.4030303030303033,1649.0
700,19.88378120621684,3.5131313131313133,1583.0
700,19.63910373187777,3.6232323232323234,1639.0
700,19.38521517986051,3.7333333333333334,1729.0
700,19.13838033858372,3.8434343434343434,1802.0
700,18.969246293060557,3.9535353535353535,1881.0
700,18.769940636725323,4.0636363636363635,1890.0
700,18.627997064509643,4.1737373737373735,1917.0
700,18.446876683079548,4.283838383838384,1988.0
700,18.324147078122934,4.393939393939394,2042.0
700,18.18576535511765,4.504040404040404,2151.0
700,17.99821811944711,4.614141414141414,2096.0
700,17.873244689226212,4.724242424242424,2100.0
700,17.75831544892409,4.834343434343434,2123.0
700,17.666140589421985,4.944444444444444,2252.0
700,17.56274681618543,5.054545454545455,2159.0
700,17.46175420665533,5.164646464646465,2306.0
700,17.30566010409628,5.274747474747475,2352.0
700,17.222150995075836,5.384848484848485,2448.0
700,17.09770460937006,5.494949494949495,2395.0
700,17.024074116536546,5.605050505050505,2488.0
700,16.93249522220345,5.715151515151515,2538.0
700,16.83999744566032,5.825252525252525,2559.0
700,16.706924785385848,5.935353535353535,2670.0
700,16.621775859488128,6.045454545454545,2733.0
700,16.543863378367472,6.155555555555555,2693.0
700,16.41335289293277,6.265656565656565,2666.0
700,16.319289704441815,6.375757575757575,2856.0
700,16.25601314456982,6.485858585858586,2872.0
700,16.18680101937083,6.595959595959596,2885.0
700,16.079787223037194,6.706060606060606,2913.0
700,15.999146911388152,6.816161616161616,2879.0
700,15.941206522290992,6.926262626262626,2957.0
700,15.876545478840333,7.036363636363636,3123.0
700,15.785329343910272,7.146464646464646,3165.0
700,15.6755555077387,7.256565656565656,3086.0
700,15.606810482105942,7.366666666666666,3370.0
700,15.542241866724746,7.476767676767676,3173.0
700,15.470614410542387,7.586868686868686,3237.0
700,15.398936438082512,7.696969696969696,3344.0
700,15.34309379193621,7.807070707070706,3343.0
700,15.287691456936045,7.917171717171717,3376.0
700,15.221541054052672,8.027272727272727,3397.0
700,15.15240335158582,8.137373737373737,3484.0
700,15.107606901970893,8.247474747474747,3551.0
700,15.088448433088267,8.357575757575757,3596.0
700,15.069289964205641,8.467676767676767,3530.0
700,15.050131495323017,8.577777777777778,3643.0
700,15.03097302644039,8.687878787878788,3619.0
700,14.740037905050002,8.797979797979798,3831.0
700,14.658394289589006,8.908080808080808,3751.0
700,14.579733288536668,9.018181818181818,3823.0
700,14.508518968311655,9.128282828282828,4066.0
700,14.459533588302161,9.238383838383838,3929.0
700,14.420945389788418,9.348484848484848,4003.0
700,14.353638270784531,9.458585858585858,4124.0
700,14.284440128720073,9.568686868686868,4154.0
700,14.217323201452409,9.678787878787878,4163.0
700,14.09521814371898,9.788888888888888,4293.0
700,14.038678130942735,9.898989898989898,4284.0
700,13.98551122579403,10.00909090909091,4372.0
700,13.938708817597503,10.11919191919192,4401.0
700,13.892825138791633,10.22929292929293,4424.0
700,13.84378918287314,10.33939393939394,4349.0
700,13.78499141182846,10.44949494949495,4376.0
700,13.715205555263076,10.55959595959596,4463.0
700,13.663873155767835,10.66969696969697,4509.0
700,13.611255234499152,10.77979797979798,4475.0
700,13.542335538337872,10.88989898989899,4668.0
700,13.450260846642406,11.0,4719.0
