Wavelength (nm),Position (mm),Counts
655,99.9935452500001,20440.0
655,99.9713043750001,20440.0
655,99.9337758750001,20960.0
655,99.8815788750001,20340.0
655,99.8133798750001,19740.0
655,99.72970275000009,20520.0
655,99.62726137500009,20520.0
655,99.5145330000001,20520.0
655,99.3886125000001,20200.0
655,99.24535650000009,20300.0
655,99.0849555000001,20980.0
655,98.9102193750001,20980.0
655,98.71781437500009,21240.0
655,98.50969312500008,21600.0
655,98.28599850000009,21300.0
655,98.05882725000009,21200.0
655,97.8175113750001,21200.0
655,97.54328662500009,20400.0
655,97.26729975000009,20760.0
655,96.96521437500009,20920.0
655,96.66131925000009,20940.0
655,96.3387075000001,20940.0
655,95.9968552500001,20420.0
655,95.64200137500009,21120.0
655,95.2697643750001,20940.0
655,94.88223975000008,20240.0
655,94.48199925000009,20240.0
655,94.0428015000001,21300.0
655,93.62813062500008,22240.0
655,93.18245587500009,21800.0
655,92.72168400000008,21860.0
655,92.22919387500009,21860.0
655,91.75818262500009,22040.0
655,91.27521750000008,21900.0
655,90.80120587500008,21340.0
655,90.32719425000009,22140.0
655,89.84118112500009,22140.0
655,89.36421675000008,21100.0
655,88.87520325000008,20940.0
655,88.40719237500008,21040.0
655,87.90622500000009,22320.0
655,87.44421487500009,22320.0
655,86.94920062500009,22060.0
655,86.48118975000007,23120.0
655,86.00422537500008,22800.0
655,85.53021375000009,22500.0
655,85.04720100000009,22500.0
655,84.56118787500009,22100.0
655,84.08422350000008,21320.0
655,83.61021187500008,20440.0
655,83.13620025000009,21460.0
655,82.65618787500007,21460.0
655,82.17622312500008,21300.0
655,81.69621075000008,22060.0
655,81.22219912500007,22320.0
655,80.73618600000007,22320.0
655,80.24121937500007,22320.0
655,79.77620887500008,21840.0
655,79.28719537500008,22100.0
655,78.82518525000008,22720.0
655,78.33321900000008,22340.0
655,77.85020625000007,22340.0
655,77.37619462500008,22260.0
655,76.89918262500008,21880.0
655,76.43121937500007,21760.0
655,75.94820662500007,21640.0
655,75.46519387500007,21640.0
655,74.97918075000007,21180.0
655,74.48421412500008,21640.0
655,74.00420175000006,22060.0
655,73.54219162500007,22900.0
655,73.07418075000007,22900.0
655,72.58821525000008,23220.0
655,72.10220212500008,22800.0
655,71.62819050000006,21580.0
655,71.12722312500007,22500.0
655,70.65921225000007,23280.0
655,70.18820100000006,23280.0
655,69.71718975000006,22440.0
655,69.22222312500007,22100.0
655,68.74521112500007,21980.0
655,68.27419987500006,22780.0
655,67.79118712500006,22780.0
655,67.30522162500006,23020.0
655,66.82520925000006,22340.0
655,66.34519687500007,22840.0
655,65.85318300000006,23940.0
655,65.38521975000006,23940.0
655,64.89620625000006,23860.0
655,64.43719650000006,23620.0
655,63.96618525000006,24420.0
655,63.474219000000055,25700.0
655,62.99720700000005,25700.0
655,62.52019500000006,24640.0
655,62.043183000000056,23980.0
655,61.569219000000054,25900.0
655,61.08320587500006,25880.0
655,60.61219462500006,25880.0
655,60.13818300000006,25780.0
655,59.66121862500005,25260.0
655,59.169204750000056,26200.0
655,58.69219275000005,26700.0
655,58.21518075000005,26700.0
655,57.71721375000005,28440.0
655,57.24920287500006,29940.0
655,56.76318975000005,30140.0
655,56.295178875000055,29280.0
655,55.81821450000005,29280.0
655,55.33520175000005,28580.0
655,54.843187875000055,29320.0
655,54.36922387500005,29920.0
655,53.898212625000056,31240.0
655,53.421200625000054,31240.0
655,52.944188625000045,32320.0
655,52.46422387500005,31840.0
655,51.97821075000005,31780.0
655,51.50419912500004,33060.0
655,51.01518562500005,33060.0
655,50.53822125000005,34140.0
655,50.06721000000005,33820.0
655,49.584197250000045,37160.0
655,49.104184875000044,39740.0
655,48.60921825000005,39740.0
655,48.14120737500004,40580.0
655,47.655194250000044,41620.0
655,47.187183375000046,41260.0
655,46.713219375000044,42180.0
655,46.21820512500004,42180.0
655,45.75619500000004,43120.0
655,45.27018187500004,45300.0
655,44.802218625000044,47240.0
655,44.319205875000044,49860.0
655,43.833192750000045,49860.0
655,43.35318037500004,52760.0
655,42.85821375000004,53560.0
655,42.39020287500004,55020.00000000001
655,41.91919162500004,57720.0
655,41.41222350000004,62020.0
655,40.75218862500004,62020.0
655,40.482202500000035,63740.0
655,39.98418787500003,67660.0
655,38.59339500000004,74660.0
655,38.150339625000036,77780.0
655,37.71990487500003,82560.0
655,37.30742475000003,88800.0
655,36.910232250000035,88800.0
655,36.532994625000036,92620.0
655,36.16385325000004,96740.0
655,35.81666700000003,100500.0
655,35.46786150000003,103980.0
655,35.15506050000003,103980.0
655,34.84930800000003,109620.0
655,34.55350912500003,113880.0
655,34.27852237500003,118160.0
655,34.01882325000003,122260.0
655,33.77584050000003,122260.0
655,33.54652612500003,128440.0
655,33.336357000000035,134960.0
655,33.13609387500003,138060.0
655,32.95459500000003,138660.0
655,32.78490712500003,138660.0
655,32.62979250000003,142840.0
655,32.49277537500003,143940.0
655,32.37147450000003,146720.0
655,32.265127875000026,151600.0
655,32.17144950000003,151600.0
655,32.09563050000003,153880.0
655,32.03247975000003,153420.0
655,31.985854875000033,154920.0
655,31.95304125000003,158080.0
655,31.920227625000035,158080.0
655,31.888652250000032,158280.0
655,31.85702925000003,156800.0
655,31.82445375000003,159600.0
655,31.79325937500003,160280.0
655,31.76082675000003,160280.0
655,31.72863225000003,161240.0
655,31.696866375000027,160800.0
655,31.66505287500003,160960.0
655,31.632667875000028,161420.0
655,31.599854250000032,161420.0
655,31.56823125000003,161880.0
655,31.537036875000027,162220.0
655,31.504651875000032,164160.0
655,31.472647875000032,164120.0
655,31.44145350000003,164120.0
655,31.40844937500003,165260.0
655,31.377636000000027,168940.0
655,31.345251000000033,171300.0
655,31.31405662500003,173200.0
655,31.282433625000028,173200.0
655,31.250048625000026,174420.0
655,31.21847325000003,175640.0
655,31.18585012500003,172080.0
655,31.15327462500003,174360.0
655,31.122032625000028,174360.0
655,31.09045725000003,174540.0
655,31.05845325000003,175000.0
655,31.02625875000003,175000.0
655,30.99406425000003,174720.0
655,30.962060250000032,174720.0
655,30.929675250000027,175500.0
655,30.898433250000032,175040.0
655,30.866667375000027,173760.0
655,30.834472875000028,174280.0
655,30.80165925000003,174280.0
655,30.77003625000003,177360.0
655,30.73846087500003,182260.0
655,30.705456750000028,183400.0
655,30.67464337500003,183320.0
655,30.64244887500003,183320.0
655,30.61025437500003,181960.0
655,30.578869500000028,180960.0
655,30.54686550000003,178120.0
655,30.51467100000003,177640.0
655,30.48247650000003,177640.0
655,30.450234375000026,178000.0
655,30.418468500000028,181820.0
655,30.385273875000028,183440.0
655,30.353841375000027,182400.0
655,30.32345662500003,182400.0
655,30.29164312500003,186000.0
655,30.25944862500003,185520.0
655,30.227635125000027,188060.0
655,30.195250125000026,191500.0
655,30.163436625000028,191500.0
655,30.13167075000003,190600.0
655,30.09966675000003,189100.0
655,30.06647212500003,190480.0
655,30.03465862500003,191560.0
655,30.003035625000027,191560.0
655,29.97226987500003,193140.0
655,29.93983725000003,192060.0
655,29.907833250000028,192540.0
655,29.87625787500003,192040.0
655,29.84406337500003,192040.0
655,29.811678375000028,196020.0
655,29.779864875000026,196920.0
655,29.748051375000028,196560.0
655,29.716476000000025,198040.0
655,29.684043375000027,198040.0
